id,carat,cut,color,clarity,depth,table,x,y,z,price
2179,0.42,Premium,G,IF,61.6,58.0,4.76,4.79,2.94,1400
18592,0.33,Very Good,E,VS2,62.8,56.0,4.4,4.42,2.77,627
21706,0.72,Ideal,E,SI1,62.7,55.0,5.64,5.69,3.55,2886
17621,0.9,Fair,H,VS2,64.6,54.0,6.09,6.14,3.95,3725
11002,0.7,Ideal,H,VS1,61.7,55.0,5.69,5.72,3.52,3004
16175,0.7,Premium,F,VS2,62.0,56.0,5.72,5.67,3.53,2573
17794,0.44,Premium,G,SI1,61.1,59.0,4.9,4.86,2.98,990
6990,1.2,Premium,H,SI2,62.8,61.0,6.7,6.62,4.18,4973
18129,1.52,Ideal,H,VVS2,62.8,56.0,7.32,7.3,4.59,12764
2470,0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,1896
21307,1.06,Ideal,I,VS1,62.0,55.0,6.55,6.58,4.07,5577
9855,0.42,Premium,F,VS1,61.9,55.0,4.82,4.78,2.97,1103
25442,1.7,Premium,G,SI2,58.9,62.0,7.79,7.72,4.57,10091
24169,0.31,Ideal,F,VS2,61.9,55.0,4.35,4.31,2.68,802
2261,0.41,Very Good,G,VS1,61.6,59.0,4.74,4.8,2.94,908
2422,2.02,Premium,J,VS2,62.0,59.0,8.08,8.06,5.0,13812
22522,1.0,Good,E,VS2,62.4,58.0,6.33,6.4,3.97,6248
24657,0.3,Ideal,I,VVS1,61.8,54.0,4.32,4.35,2.68,540
10365,1.06,Premium,E,SI1,62.0,61.0,6.55,6.51,4.05,5485
2352,0.9,Premium,H,VVS2,62.0,58.0,6.16,6.13,3.81,4355
22060,0.96,Good,H,SI2,56.7,62.0,6.51,6.39,3.66,3454
6455,0.3,Ideal,I,VVS1,62.4,56.0,4.3,4.32,2.69,552
25759,0.35,Very Good,E,VS1,59.7,59.0,4.59,4.62,2.75,790
13397,0.51,Very Good,G,IF,63.8,58.0,5.06,5.09,3.24,2063
15387,0.92,Ideal,F,VS2,61.2,56.0,6.25,6.3,3.84,5805
26533,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,994
4095,0.72,Good,F,VS2,61.1,60.0,5.72,5.76,3.51,2705
11105,0.9,Premium,F,SI2,62.7,58.0,6.16,6.09,3.84,3780
3642,0.3,Premium,D,VS2,60.4,59.0,4.32,4.35,2.62,710
14391,1.01,Good,E,SI2,63.3,58.0,6.3,6.36,4.01,4168
7479,0.44,Very Good,E,VS1,59.7,59.0,4.94,5.01,2.97,1090
22220,2.0,Fair,I,SI2,69.1,56.0,7.84,7.7,5.37,8736
290,0.72,Ideal,F,SI1,61.8,57.0,5.68,5.74,3.53,2440
12614,1.03,Ideal,E,VVS2,61.7,54.0,6.49,6.52,4.02,9932
15149,1.52,Ideal,F,VS2,62.8,55.0,7.37,7.28,4.6,14038
17035,1.62,Very Good,H,SI1,63.1,56.0,7.38,7.51,4.7,10567
25153,0.24,Very Good,D,VS1,62.2,58.0,3.95,3.99,2.47,419
18461,0.56,Ideal,E,VVS2,62.1,57.0,5.26,5.3,3.28,2622
12227,0.25,Ideal,E,VVS1,62.3,53.0,4.08,4.11,2.55,783
19803,0.4,Premium,D,SI2,62.1,60.0,4.75,4.69,2.93,855
24191,0.3,Ideal,G,VS2,61.3,56.0,4.28,4.3,2.63,526
17439,0.3,Very Good,F,VS2,62.9,57.0,4.27,4.29,2.69,605
7170,0.5,Premium,G,VVS2,59.6,60.0,5.18,5.15,3.08,1935
16152,0.34,Very Good,D,SI1,62.8,58.0,4.44,4.48,2.8,626
16828,1.5,Fair,E,SI2,66.3,60.0,7.09,7.02,4.68,10080
10970,0.71,Ideal,F,VS1,61.5,57.0,5.7,5.74,3.52,3404
13644,0.55,Ideal,E,VS2,60.3,57.0,5.28,5.3,3.19,1596
6882,1.06,Good,I,SI2,,60.0,6.65,6.71,3.92,3842
15638,1.21,Ideal,E,VS1,62.4,57.0,6.75,6.83,4.24,10351
22712,1.01,Premium,H,SI2,,60.0,6.39,6.25,3.92,3507
7324,1.22,Ideal,H,VS2,61.3,56.0,6.85,6.88,4.21,8596
17941,1.22,Ideal,J,SI2,61.2,57.0,6.86,6.9,4.21,4676
4676,2.0,Premium,E,SI2,61.8,56.0,8.12,8.05,5.0,18426
2659,1.22,Ideal,E,SI1,61.7,56.0,6.92,6.88,4.26,7215
6696,1.01,Very Good,G,SI1,62.6,59.0,6.38,6.3,3.97,4916
47,0.43,Premium,F,VS1,62.5,58.0,4.85,4.78,3.01,1129
26361,0.31,Ideal,E,SI2,61.3,55.0,4.37,4.34,2.67,558
26315,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,705
16797,0.51,Ideal,G,VVS1,61.0,57.0,5.17,5.16,3.15,2111
26178,1.36,Very Good,D,SI1,59.5,61.0,7.21,7.24,4.3,9874
19364,1.52,Premium,H,VS2,61.1,61.0,7.4,7.36,4.51,8825
1531,1.7,Very Good,J,VS1,63.6,58.0,7.52,7.54,4.79,9683
7805,0.72,Very Good,G,VS1,63.5,55.0,5.75,5.68,3.63,2422
13711,0.72,Ideal,G,VS1,61.6,56.0,5.75,5.78,3.55,3478
1100,0.3,Good,G,VS1,63.1,58.0,4.24,4.28,2.69,605
9036,0.33,Ideal,E,SI1,61.5,55.0,4.46,4.49,2.75,532
6883,1.38,Ideal,F,VVS1,62.9,56.0,7.04,7.1,4.45,15968
14122,0.52,Very Good,E,VS1,63.3,58.0,5.07,5.11,3.22,1822
24668,0.56,Ideal,G,SI1,62.9,56.0,5.27,5.25,3.31,1345
8697,2.17,Very Good,I,SI1,62.1,61.0,8.24,8.27,5.13,15760
2964,0.51,Ideal,G,VS1,61.0,55.0,5.21,5.11,3.15,1781
14163,0.38,Premium,E,SI2,59.9,56.0,4.79,4.72,2.85,596
2275,1.03,Ideal,F,VS2,62.3,56.0,6.52,6.49,4.05,6922
10532,0.72,Ideal,H,VVS2,61.6,56.0,5.75,5.77,3.55,3334
20675,1.29,Premium,J,VS1,61.7,59.0,6.93,6.97,4.29,5463
15689,1.56,Premium,F,SI1,60.1,60.0,7.56,7.52,4.53,11299
5552,0.56,Ideal,I,VVS1,62.0,56.0,5.29,5.26,3.27,1698
13319,0.33,Ideal,E,VVS2,61.2,56.0,4.44,4.48,2.73,814
7383,0.44,Good,D,SI1,58.8,62.0,4.97,5.0,2.93,777
23779,0.51,Premium,E,SI2,61.7,58.0,5.14,5.07,3.15,1265
7990,1.07,Very Good,E,SI2,61.7,58.0,6.54,6.56,4.04,5304
25574,1.0,Good,H,SI2,63.9,55.0,6.41,6.34,4.07,3584
6242,0.52,Ideal,F,VS1,62.3,55.0,5.16,5.21,3.23,1778
13133,0.53,Very Good,D,VS2,62.6,58.0,5.14,5.18,3.23,1682
23304,1.21,Premium,D,VVS1,60.1,59.0,6.96,6.88,4.16,17192
750,0.43,Ideal,H,VS2,62.5,56.0,4.81,4.85,3.02,1218
9567,0.34,Ideal,D,VS2,60.8,57.0,4.52,4.5,2.74,1033
621,0.7,Very Good,F,VS2,59.5,58.0,5.75,5.85,3.45,2812
13023,0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,3564
4058,1.01,Very Good,F,SI2,60.0,55.0,6.56,6.53,3.93,4425
19464,1.0,Premium,F,SI1,62.4,58.0,6.39,6.27,3.95,3528
1405,1.41,Very Good,H,SI2,58.5,57.0,7.36,7.44,4.33,7339
21719,0.41,Premium,F,VVS2,61.0,59.0,4.83,4.77,2.93,1192
16414,0.77,Ideal,D,VS2,61.8,56.0,5.9,5.84,3.63,3755
22317,0.31,Premium,G,VVS1,62.5,57.0,4.4,4.3,2.72,1046
17332,2.0,Premium,I,VS2,60.7,60.0,8.07,8.02,4.88,16694
9817,0.92,Ideal,F,SI2,61.5,53.0,6.26,6.3,3.86,4691
8082,0.7,Ideal,F,SI1,61.3,57.0,5.72,5.77,3.52,2288
4683,1.01,Ideal,G,VS2,62.4,57.0,6.39,6.36,3.98,6340
10591,1.25,Good,I,SI2,63.3,55.8,6.83,6.87,4.34,5197
13650,0.42,Ideal,E,VS2,62.2,55.0,4.79,4.83,2.99,958
17008,0.54,Premium,E,SI1,62.2,58.0,5.26,5.23,3.26,1637
21519,0.55,Ideal,D,VS2,62.3,55.0,5.24,5.29,3.28,1928
19471,0.73,Premium,F,SI2,60.5,57.0,5.84,5.8,3.52,2351
18973,1.09,Very Good,F,VS2,61.4,54.0,6.66,6.7,4.1,6990
5966,0.37,Very Good,G,VS1,58.4,59.0,4.76,4.69,2.76,657
14644,0.9,Very Good,E,SI1,63.2,58.0,6.12,6.1,3.86,4560
3531,1.51,Premium,I,SI1,61.8,60.0,7.23,7.3,4.49,7989
26085,0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64,2795
14627,0.71,Premium,J,SI1,62.4,61.0,5.68,5.63,3.53,1690
12048,1.11,Ideal,H,SI1,62.3,55.0,6.7,6.65,4.16,5456
3219,1.01,Premium,E,IF,62.6,58.0,6.44,6.37,4.01,11491
14717,0.4,Premium,F,VVS1,60.2,59.0,4.74,4.76,2.86,1263
24660,0.38,Very Good,I,VS2,62.4,56.0,4.65,4.58,2.88,549
18258,1.44,Ideal,D,SI1,63.0,55.0,7.23,7.18,4.54,10725
22786,0.5,Ideal,F,SI1,59.9,56.0,5.09,5.36,3.13,1282
9682,1.03,Ideal,H,SI2,62.4,57.0,6.43,6.36,4.0,3172
7505,0.85,Ideal,G,SI1,62.2,56.0,6.04,6.09,3.77,3670
9395,0.37,Premium,E,VS2,61.0,59.0,4.59,4.63,2.81,811
8526,0.9,Very Good,G,SI2,62.4,55.0,6.13,6.17,3.84,3539
2782,1.52,Very Good,D,VS2,61.9,56.0,7.31,7.35,4.54,14698
2697,0.83,Premium,F,SI1,62.0,59.0,6.04,5.99,3.73,3198
4723,2.01,Premium,E,SI2,62.2,60.0,8.02,7.96,4.97,13387
3646,1.07,Premium,G,I1,62.3,60.0,6.55,6.51,4.07,3547
13701,1.2,Very Good,I,VS1,63.1,58.0,6.7,6.62,4.2,5322
23552,0.51,Good,G,VVS2,,56.0,5.27,5.35,3.06,1885
1591,1.09,Premium,F,SI1,62.7,58.0,6.51,6.56,4.1,5287
20161,1.13,Ideal,G,VS2,62.7,56.0,6.61,6.65,4.16,6891
8959,0.33,Very Good,H,VS2,58.8,62.0,4.49,4.53,2.65,486
21497,0.9,Very Good,H,VS1,62.3,59.0,6.12,6.17,3.83,4592
16741,0.75,Ideal,I,VS1,59.9,57.0,5.96,5.9,3.56,2562
21891,0.52,Premium,I,VS1,59.6,60.0,5.17,5.14,3.07,1141
1364,1.0,Premium,G,SI1,63.0,59.0,6.44,6.32,4.02,4956
16522,0.56,Ideal,F,VVS2,61.1,56.0,5.35,5.37,3.27,2522
19834,0.41,Very Good,D,SI1,60.3,63.0,4.8,4.78,2.89,920
9428,2.1,Premium,J,SI1,62.9,58.0,8.15,8.09,5.11,13930
19468,0.92,Ideal,F,SI2,62.0,54.0,6.26,6.32,3.9,4065
498,0.55,Ideal,E,VS2,61.4,56.0,5.26,5.32,3.25,1667
7517,1.03,Premium,E,SI2,61.8,59.0,6.47,6.42,3.98,4845
24290,0.4,Ideal,G,VVS1,61.5,57.0,4.74,4.79,2.93,1059
24716,1.01,Premium,E,SI2,62.6,59.0,6.36,6.39,3.99,4666
9983,0.71,Very Good,E,VS1,63.3,59.0,5.64,5.68,3.58,3064
11279,0.3,Ideal,G,SI1,62.0,58.0,4.27,4.29,2.65,477
10678,0.9,Premium,D,SI1,62.1,60.0,6.2,6.14,3.83,3812
14133,0.56,Ideal,D,VS2,61.5,57.0,5.33,5.28,3.26,2066
16527,0.24,Ideal,G,IF,61.6,57.0,3.99,4.02,2.46,559
10687,0.33,Premium,F,SI1,60.9,59.0,4.42,4.45,2.7,550
15189,1.22,Ideal,H,SI1,62.2,56.0,6.84,6.89,4.27,6541
13202,0.35,Ideal,H,SI1,61.9,55.0,4.54,4.57,2.82,541
1032,0.52,Ideal,H,VVS1,60.4,57.0,5.2,5.23,3.15,1778
12697,0.71,Good,J,SI1,61.5,62.0,5.61,5.66,3.47,1755
17839,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,804
9750,0.32,Ideal,J,VS1,61.3,57.0,4.43,4.41,2.71,540
7510,1.04,Ideal,G,VVS2,62.1,55.1,6.5,6.51,4.04,8012
10113,1.01,Premium,G,SI1,59.6,61.0,6.52,6.47,3.87,4672
16585,0.28,Very Good,G,VVS1,61.9,55.0,4.18,4.2,2.6,586
10566,0.56,Ideal,D,SI1,61.9,55.0,5.31,5.29,3.28,1803
14513,0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,743
20066,0.31,Premium,I,SI1,61.3,58.0,4.34,4.37,2.67,408
11153,0.43,Premium,D,SI2,62.6,58.0,4.79,4.82,3.01,716
13907,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,982
9468,1.13,Premium,D,SI2,62.0,58.0,6.64,6.68,4.13,5280
13519,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1433
21601,0.31,Good,E,SI1,63.7,57.0,4.31,4.29,2.74,698
20852,0.37,Very Good,G,VS2,60.7,57.0,4.64,4.69,2.83,649
11394,0.3,Ideal,E,VS2,62.4,57.0,4.26,4.24,2.65,844
7712,0.73,Premium,D,VS1,60.0,58.0,5.86,5.9,3.53,3620
8358,1.58,Premium,G,VS1,62.1,59.0,7.43,7.46,4.62,12530
20855,0.24,Ideal,F,VS2,61.8,57.0,3.97,4.02,2.47,417
16264,0.5,Ideal,G,VS2,62.2,54.1,5.07,5.12,3.17,1601
961,0.81,Ideal,J,SI1,62.0,56.0,6.0,6.03,3.73,2307
20572,0.46,Very Good,F,VVS1,62.3,56.0,4.94,4.98,3.09,1838
17775,0.82,Ideal,G,VVS2,62.1,56.0,5.97,6.01,3.72,4130
17028,0.43,Very Good,G,VS2,61.0,56.0,4.87,4.89,2.98,844
24457,0.57,Ideal,G,VS1,61.1,57.0,5.34,5.36,3.27,2060
24674,0.7,Ideal,I,VVS2,62.5,54.0,5.69,5.74,3.57,2276
26586,0.73,Ideal,E,VS1,62.3,56.0,5.8,5.75,3.6,3311
6118,0.9,Very Good,E,SI1,63.5,55.0,6.22,6.12,3.92,3508
23328,0.34,Premium,D,SI1,62.4,58.0,4.42,4.46,2.77,626
2809,1.27,Ideal,J,SI2,,56.0,6.99,6.95,4.27,5021
2479,0.54,Ideal,G,VVS2,61.9,55.0,5.2,5.3,3.25,1927
